"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SPE00120278","MADRID BARAJAS, SP","2022-01-01","0.0","6.7","17.2","-0.3"
"SPE00120278","MADRID BARAJAS, SP","2022-01-02","0.0","6.1","14.5","-0.1"
"SPE00120278","MADRID BARAJAS, SP","2022-01-03","0.0","6.7","14.5","1.1"
"SPE00120278","MADRID BARAJAS, SP","2022-01-04","5.8","6.3","12.8","0.4"
"SPE00120278","MADRID BARAJAS, SP","2022-01-05","5.7","6.3","10.1","3.5"
"SPE00120278","MADRID BARAJAS, SP","2022-01-06","0.0","3.0","8.5","-1.3"
"SPE00120278","MADRID BARAJAS, SP","2022-01-07","0.0","3.6","10.8","-2.3"
"SPE00120278","MADRID BARAJAS, SP","2022-01-08","0.0","1.4","7.6","-3.1"
"SPE00120278","MADRID BARAJAS, SP","2022-01-09","0.0","6.2","13.8","-2.2"
"SPE00120278","MADRID BARAJAS, SP","2022-01-10","0.0","10.3","15.9","4.8"
"SPE00120278","MADRID BARAJAS, SP","2022-01-11","0.0","9.6","16.5","2.1"
"SPE00120278","MADRID BARAJAS, SP","2022-01-12","0.0","5.6","13.0","-1.1"
"SPE00120278","MADRID BARAJAS, SP","2022-01-13","0.0","2.2","9.5","-3.0"
"SPE00120278","MADRID BARAJAS, SP","2022-01-14","0.0","1.5","9.8","-4.1"
"SPE00120278","MADRID BARAJAS, SP","2022-01-15","0.0","1.4","9.5","-4.1"
"SPE00120278","MADRID BARAJAS, SP","2022-01-16","0.0","1.5","10.3","-4.5"
"SPE00120278","MADRID BARAJAS, SP","2022-01-17","0.0","2.3","12.0","-4.2"
"SPE00120278","MADRID BARAJAS, SP","2022-01-18","0.0","2.4","12.8","-4.7"
"SPE00120278","MADRID BARAJAS, SP","2022-01-19","0.0","2.7","14.9","-5.3"
"SPE00120278","MADRID BARAJAS, SP","2022-01-20","0.0","4.3","13.6","-3.4"
"SPE00120278","MADRID BARAJAS, SP","2022-01-21","0.0","3.3","10.3","-2.8"
"SPE00120278","MADRID BARAJAS, SP","2022-01-22","0.0","2.7","10.7","-3.9"
"SPE00120278","MADRID BARAJAS, SP","2022-01-23","0.0","3.3","10.7","-3.0"
"SPE00120278","MADRID BARAJAS, SP","2022-01-24","0.0","5.2","9.0","0.7"
"SPE00120278","MADRID BARAJAS, SP","2022-01-25","0.0","6.6","10.4","0.3"
